x-axis,1,2,EXT
second,Volt,Volt,
+26.60000E-03,+6.62950948E+00,+3.55855531E+00,1
+26.68000E-03,+6.62954916E+00,+3.55855531E+00,1
+26.76000E-03,+6.63710441E+00,+3.47011310E+00,1
+26.84000E-03,+6.62578145E+00,+3.43236990E+00,1
+26.92000E-03,+6.63704489E+00,+3.46991470E+00,1
+27.00000E-03,+6.61057175E+00,+3.43197310E+00,1
+27.08000E-03,+6.58403908E+00,+3.38167088E+00,1
+27.16000E-03,+6.55750642E+00,+3.31880965E+00,1
+27.24000E-03,+6.59151498E+00,+3.22970610E+00,1
+27.32000E-03,+6.58403908E+00,+3.29322867E+00,1
+27.40000E-03,+6.56875002E+00,+3.25575001E+00,1
+27.48000E-03,+6.58417796E+00,+3.20524939E+00,1
+27.56000E-03,+6.61057175E+00,+3.25482414E+00,1
+27.64000E-03,+6.61057175E+00,+3.20478646E+00,1
+27.72000E-03,+6.59506444E+00,+3.14218975E+00,1
+27.80000E-03,+6.56490295E+00,+3.05255714E+00,1
+27.88000E-03,+6.58005314E+00,+3.11634424E+00,1
+27.96000E-03,+6.55750642E+00,+3.01388808E+00,1
+28.04000E-03,+6.58382084E+00,+3.02790203E+00,1
+28.12000E-03,+6.55750642E+00,+3.02790203E+00,1
+28.20000E-03,+6.58403908E+00,+2.93945982E+00,1
+28.28000E-03,+6.58403908E+00,+2.87712764E+00,1
+28.36000E-03,+6.58403908E+00,+2.97912088E+00,1
+28.44000E-03,+6.53503906E+00,+2.86456862E+00,1
+28.52000E-03,+6.57295420E+00,+2.85101760E+00,1
+28.60000E-03,+6.53127136E+00,+2.76356739E+00,1
+28.68000E-03,+6.54265383E+00,+2.80150898E+00,1
+28.76000E-03,+6.53444386E+00,+2.76257539E+00,1
+28.84000E-03,+6.53097376E+00,+2.70050775E+00,1
+28.92000E-03,+6.53821157E+00,+2.76257539E+00,1
+29.00000E-03,+6.53511842E+00,+2.66031762E+00,1
+29.08000E-03,+6.53097376E+00,+2.67413317E+00,1
+29.16000E-03,+6.53135072E+00,+2.58569096E+00,1
+29.24000E-03,+6.53097376E+00,+2.58569096E+00,1
+29.32000E-03,+6.52758301E+00,+2.57438847E+00,1
+29.40000E-03,+6.53097376E+00,+2.53241275E+00,1
+29.48000E-03,+6.55750642E+00,+2.40880653E+00,1
+29.56000E-03,+6.53097376E+00,+2.40880653E+00,1
+29.64000E-03,+6.54189992E+00,+2.40880653E+00,1
+29.72000E-03,+6.55750642E+00,+2.32036432E+00,1
+29.80000E-03,+6.58403908E+00,+2.36934387E+00,1
+29.88000E-03,+6.58403908E+00,+2.32036432E+00,1
+29.96000E-03,+6.58403908E+00,+2.19728717E+00,1
+30.04000E-03,+6.63710441E+00,+2.23192210E+00,1
+30.12000E-03,+6.63710441E+00,+2.08372692E+00,1
+30.20000E-03,+6.64795121E+00,+2.19576611E+00,1
+30.28000E-03,+6.66363707E+00,+2.14347989E+00,1
+30.36000E-03,+6.70208789E+00,+2.05503768E+00,1
+30.44000E-03,+6.69016973E+00,+2.05503768E+00,1
+30.52000E-03,+6.69832019E+00,+2.00070133E+00,1
+30.60000E-03,+6.69016973E+00,+1.96659546E+00,1
+30.68000E-03,+6.66363707E+00,+1.96659546E+00,1
+30.76000E-03,+6.68517195E+00,+1.87815325E+00,1
+30.84000E-03,+6.66302203E+00,+1.79176117E+00,1
+30.92000E-03,+6.66363707E+00,+1.82970276E+00,1
+31.00000E-03,+6.64025708E+00,+1.78971104E+00,1
+31.08000E-03,+6.67186688E+00,+1.78971104E+00,1
+31.16000E-03,+6.70978202E+00,+1.85508534E+00,1
+31.24000E-03,+6.74323506E+00,+1.78971104E+00,1
+31.32000E-03,+6.75392314E+00,+1.78971104E+00,1
